name,website,google_category,domain,address,phone,lat,lng,status,reason,evidence_quote
Hauptstadtlabor Berlin,https://www.hauptstadtlabor-berlin.de/,Medizinisches Labor,hauptstadtlabor-berlin.de,"Flottenstraße 24, 13407 Berlin, Deutschland",+49 30 23323930,52.5783193,13.3544702,QUESTIONABLE,Kein Text gescrapt,
MDI Limbach Berlin GmbH,https://www.mdi-limbach-berlin.de/,Medizinisches Labor,mdi-limbach-berlin.de,"Aroser Allee 68, 13407 Berlin, Deutschland",+49 30 4433640,52.5632141,13.3538892,QUESTIONABLE,,"Selbstverständlich haben Sie die Möglichkeit, einzelne Analysen dieses Untersuchungsprofil anzufordern."
MVZ Laboratoriumsmedizin Berlin Dres. med. Wisplinghoff und Kollegen,https://www.wisplinghoff.de/das-labor/standort-berlin-mpu,Medizinisches Labor,wisplinghoff.de,"Ostseestraße 111, 10409 Berlin, Deutschland",+49 30 400064864,52.546304,13.4435276,QUESTIONABLE,,Sie können diese Selbstzahlerleistungen als individuelle Gesundheitsleistung (IGeL) durchführen lassen.
MVZ MIB (Medizinisches Infektiologiezentrum Berlin),http://www.mvz-mib.de/,Medizinisches Labor,mvz-mib.de,"Oudenarder Str. 16, 13347 Berlin, Deutschland",+49 30 344091040,52.5531408,13.360054,QUESTIONABLE,Kein Text gescrapt,
Labor Berlin - Charité Vivantes GmbH,http://www.laborberlin.com/,Medizinisches Labor,laborberlin.com,"Sylter Str. 2, 13353 Berlin, Deutschland",+49 30 4050260,52.5413861,13.3380636,QUESTIONABLE,,"Bitte kommen Sie nüchtern zur Blutentnahme. Für die Untersuchung wird eine Blutentnahme nach mindestens 12-stündiger Nahrungskarenz durchgeführt. Das Trinken von Wasser ist erlaubt und erwünscht. Preis: 142,99 €, inkl. Blutabnahme und 19 % MwSt. Für die Leistungserbringung müssen Sie volljährig sein. Wir bieten diese Leistung an unseren beiden Standorten an."
"Bilacon Gesellschaft für Laboranalytik, Lebensmittelhygiene und Prozeßmanagement mbH",https://www.bilacon.de/,Labor,bilacon.de,"An d. Industriebahn 5, 13088 Berlin, Deutschland",+49 30 206038230,52.5621343,13.4614255,QUESTIONABLE,Kein Text gescrapt,
Institut Kirchhoff Berlin GmbH,https://www.merieuxnutrisciences.com/de/,Labor,merieuxnutrisciences.com,"Oudenarder Str. 16, 13347 Berlin, Deutschland",+49 30 45798930,52.5533806,13.3604673,QUESTIONABLE,Kein Text gescrapt,
Gläsernes Labor,http://www.glaesernes-labor.de/,Labor,glaesernes-labor.de,"Robert-Rössle-Straße 10, 13125 Berlin, Deutschland",,52.6268981,13.5023035,QUESTIONABLE,Kein Text gescrapt,
Labservice GmbH,http://www.lab-service.de/,Medizinisches Labor,lab-service.de,"Flottenstraße 24, 13407 Berlin, Deutschland",+49 30 23323930,52.5780822,13.35408,QUESTIONABLE,Kein Text gescrapt,
spæs - Lab for Spatial Aesthetics in Sound Berlin,https://spaes.org/,Labor,spaes.org,"Stockholmer Str. 4, 13359 Berlin, Deutschland",,52.5569918,13.3823922,QUESTIONABLE,Kein Text gescrapt,
Mein Labor Berlin,https://mein.laborberlin.com/,Medizinisches Labor,mein.laborberlin.com,"Sylter Str. 2, 13353 Berlin, Deutschland",+49 30 405026800,52.5415629,13.3380626,QUESTIONABLE,Kein Text gescrapt,
Hygiene-Institut Berlin Search Care GmbH,https://www.hygiene-berlin.de/,Labor,hygiene-berlin.de,"Stettiner Str. 53, 13357 Berlin, Deutschland",+49 30 88668589,52.5529862,13.3853325,QUESTIONABLE,Kein Text gescrapt,
Caritas Kardiozentrum Berlin,https://www.caritas-gesundheit.de/kliniken/caritas-klinik-maria-heimsuchung/fachbereiche/kardiozentrum-berlin?utm_source=yext&utm_medium=organisch&utm_campaign=website,Medizinisches Labor,caritas-gesundheit.de,"Breite Str. 46/47, 13187 Berlin, Deutschland",+49 30 47517321,52.5717807,13.4140338,QUESTIONABLE,Kein Text gescrapt,
HyproLab GmbH - Trinkwasser und Hygieneanalysen,https://www.hyprolab.de/,Labor,hyprolab.de,"Flottenstraße 24, 13407 Berlin, Deutschland",+49 30 233239370,52.5780822,13.35408,QUESTIONABLE,Kein Text gescrapt,
Tentamus Group,https://www.tentamus.de/,Labor,tentamus.de,"An d. Industriebahn 26, 13088 Berlin, Deutschland",+49 30 206038230,52.5610778,13.4608715,QUESTIONABLE,Kein Text gescrapt,
Hausarztpraxis GERMEDICA,https://www.praxis-germedica.de/,Medizinisches Labor,praxis-germedica.de,"Reginhardstraße 34, 13409 Berlin, Deutschland",+49 30 4919195,52.5608626,13.3719733,QUESTIONABLE,Kein Text gescrapt,
PCR-am-Leo bei Diagnostic HealthCare Solutions,https://www.pcr-am-leo.de/,Medizinisches Labor,pcr-am-leo.de,"Nazarethkirchstraße 50A/Aufgang 2, 13347 Berlin, Deutschland",+49 30 28690892,52.5479646,13.3592404,QUESTIONABLE,Kein Text gescrapt,
Labor im CfG - Exklusiv für Versicherte der AOK Nordost und Selbstzahlende,https://nordost.aok.de/inhalt/labor-im-centrum-fuer-gesundheit/,Labor,nordost.aok.de,"Ostender Str. 1, 13353 Berlin, Deutschland",,52.54834,13.35493,QUESTIONABLE,Kein Text gescrapt,
Analytisches Zentrum Biopharm GmbH Berlin,http://www.az-biopharm.de/,Labor,az-biopharm.de,"Bitterfelder Str. 19, 12681 Berlin, Deutschland",+49 30 936520,52.5531869,13.539489,QUESTIONABLE,Kein Text gescrapt,
CoronaFreepass Berlin CTB Reinickendorf,http://www.coronafreepass.de/,Medizinisches Labor,coronafreepass.de,"Ollenhauerstraße 104, 13403 Berlin, Deutschland",+49 40 23830500,52.57071,13.3300998,QUESTIONABLE,Kein Text gescrapt,
The Liu Lab,https://www.theliulab.com/contact,Labor,theliulab.com,"Robert-Rössle-Straße 10, 13125 Berlin, Deutschland",+49 30 94793100,52.6241874,13.5040785,QUESTIONABLE,Kein Text gescrapt,
Hygiene-Institut Aysid GmbH,https://www.aysid.de/,Medizinisches Labor,aysid.de,"Holzhauser Str. 158b, 13509 Berlin, Deutschland",+49 30 4406225,52.5844593,13.3157252,QUESTIONABLE,Kein Text gescrapt,
Maisto Dentallabor Berlin,https://maisto-dental.de/,Dentallabor,maisto-dental.de,"Düsterhauptstraße 41, 13469 Berlin, Deutschland",+49 30 40397939,52.6079115,13.3208727,QUESTIONABLE,Kein Text gescrapt,
Labor 28 MVZ GmbH,http://www.labor28.de/,Medizinisches Labor,labor28.de,"Mecklenburgische Str. 28, 14197 Berlin, Deutschland",+49 30 820930,52.4782346,13.3082598,QUESTIONABLE,,Für die Blutentnahmen und ärztlichen Beratungen können Sie ganz einfach online einen Termin vereinbaren. Bitte wählen Sie die verfügbaren Zeiten aus.
Mein Direktlabor - Labor Berlin-Tiergarten,https://www.meindirektlabor.de/,Medizinisches Labor,meindirektlabor.de,"Lützowstraße 24-26, 10785 Berlin, Deutschland",+49 30 48526136,52.5033552,13.365023,QUESTIONABLE,,"Alle Kosten richten sich nach der Gebührenordnung für Ärzte (GOÄ). Privat versicherte Patienten bekommen die Kosten in der Regel von ihrer Krankenversicherung erstattet, gesetzlich Versicherte müssen sie meist selbst tragen."
IFLb Laboratoriumsmedizin Berlin GmbH,http://www.iflb.de/,Medizinisches Labor,iflb.de,"Wohlrabedamm 8, 13629 Berlin, Deutschland",+49 30 3279030,52.5337661,13.2741109,QUESTIONABLE,Kein Text gescrapt,
SYNLAB MVZ Berlin,https://www.synlab.de/lab/berlin,Medizinisches Labor,synlab.de,"Reichartstraße 2/Aufgang H, 10829 Berlin, Deutschland",+49 30 4611230,52.4721341,13.3656921,NO,,Gesetzlich Versicherte benötigen einen Überweisungsschein ihres Arztes (Muster 10-Überweisungsschein für Laboratoriumsuntersuchungen als Auftragsleistung oder Muster 6 Überweisungsschein). Als Labor benötigen wir bei jeder Konsultation – auch innerhalb eines Quartals – einen neuen Überweisungsschein!
Dr. Jens Meyer Gastroenterologe,http://www.gastropraxis-berlin-mitte.de/,Internist,gastropraxis-berlin-mitte.de,"Koloniestraße 21, 13359 Berlin, Deutschland",+49 30 4937035,52.55798,13.378814,QUESTIONABLE,Kein Text gescrapt,
Internist & Hausarzt - Tamayo Montenegro,http://praxis-tamayo-montenegro.de/,Arzt,praxis-tamayo-montenegro.de,"Wichertstraße 33, 10439 Berlin, Deutschland",+49 30 4233208,52.5469511,13.4244148,QUESTIONABLE,Kein Text gescrapt,
Lyvy,https://www.lyvy.de/,Bluttest-Service,lyvy.de,"Niedstraße 22, 12159 Berlin, Deutschland",,52.4726904,13.3293178,QUESTIONABLE,Kein Text gescrapt,
IMD Institut für Medizinische Diagnostik Berlin-Potsdam GbR,https://www.imd-berlin.de/,Medizinisches Labor,imd-berlin.de,"Nicolaistraße 22, 12247 Berlin, Deutschland",+49 30 77001322,52.4432677,13.3338757,QUESTIONABLE,,"Für Patientinnen und Patienten, die dennoch selbst eine Analyse in Auftrag geben möchten, bieten wir Zugang zu allen verfügbaren Tests in unserem » IMD OnlineLabor."
ALAB GmbH Analyselabor in Berlin,http://www.alab-berlin.de/,Labor,alab-berlin.de,"Wilsnacker Str. 15, 10559 Berlin, Deutschland",+49 30 3949983,52.5278499,13.3516748,QUESTIONABLE,Kein Text gescrapt,
Fluentes Labor für integrierte Diagnostik GmbH,http://www.fluentes.de/,Labor,fluentes.de,"Neue Bergstraße 6A, 13585 Berlin, Deutschland",+49 30 3309673,52.5499358,13.2051234,QUESTIONABLE,Kein Text gescrapt,
Gastroenterologie Berlin Nord | Dr. med. Cordula Bartel-Kowalski,https://www.gastropraxis-berlin-nord.de/,Gastroenterologe,gastropraxis-berlin-nord.de,"Backnanger Str. 17 -18, 13467 Berlin, Deutschland",+49 30 40533308,52.6179443,13.3045727,QUESTIONABLE,,"Wir bieten Ihnen ein breites Spektrum an diagnostischen und therapeutischen Leistungen an. Dazu gehören endoskopische Untersuchungen, Ultraschall der Bauchorgane, Atemtests und eine allgemeine Sprechstunde."
MEDICALAB Berlin - Labor für medizinische Diagnostik,https://www.atos-labor.de/,Medizinisches Labor,atos-labor.de,"Am Stichkanal 2-4, 14167 Berlin, Deutschland",+49 30 54713134,52.4166046,13.2852394,QUESTIONABLE,Kein Text gescrapt,
Frau Dr. med. Ulrike Thies,http://www.dr-ulrikethies.de/,Arzt,dr-ulrikethies.de,"Ernst-Lemmer-Ring 113, 14165 Berlin, Deutschland",+49 30 8029030,52.4215016,13.2463999,QUESTIONABLE,Kein Text gescrapt,
Überörtliche Berufsausübungsgmeinschaft MVZ DTZ am Frankfurter Tor/ MVZ DTZ am OZB Onkozentrum Berlin,http://www.berlin-dtz.de/,Arztpraxis,berlin-dtz.de,"Kadiner Str. 23, 10243 Berlin, Deutschland",+49 30 293697300,52.514945,13.4510811,QUESTIONABLE,,Diese Methode wird von den Leitlinien und Krankenkassen empfohlen und wird für die meisten Indikationen übernommen bzw. ist für gesetzlich versicherte Patienten kostenfrei.
MEDICO LEOPOLDPLATZ Service GmbH,https://medicoleo.de/impressum/,Ärztehaus,medicoleo.de,"Potsdamer Str. 7, 10785 Berlin, Deutschland",+49 30 4579790,52.5088802,13.3725793,QUESTIONABLE,,Die bei uns tätigen Ärzte gehören der Kassenärztlichen Vereinigung Berlin an.
Ärztehaus Mitte,https://www.aerztehaus-mitte.de/?utm_source=google&utm_medium=organic&utm_campaign=gmb,Arzt,aerztehaus-mitte.de,"In den Ministergärten 1, 10117 Berlin, Deutschland",+49 30 2123436400,52.5122592,13.3804035,QUESTIONABLE,Kein Text gescrapt,
Charité – Universitätsmedizin Berlin,https://www.charite.de/,Universitätsklinikum,charite.de,"Charitépl. 1, 10117 Berlin, Deutschland",+49 30 45050,52.5264618,13.3766245,QUESTIONABLE,,Die Untersuchungen werden nach medizinischer Notwendigkeit angepasst. Unsere Check-up-Untersuchungen können von Privatpatienten und Selbstzahlern in Anspruch genommen werden und dienen der Früherkennung und Vorsorge von Krebs- und Herz-Kreislauf-Erkrankungen.
"Herz-Kreislauf: Herzpraxis Berlin, Medizinisches Versorgungszentrum im Ärztehaus Steglitz",https://p.herzinstitut-herzpraxis.de/,Ärztehaus,p.herzinstitut-herzpraxis.de,"Schloßstraße 40, 12165 Berlin, Deutschland",+49 30 70096070,52.4565224,13.3198788,QUESTIONABLE,Kein Text gescrapt,
